34	4002	0.0500175	0.999512	1
45	5618	0.0514724	0.999023	1
67	4400	0.052453	0.998535	1
91	4396	0.0531758	0.998047	1
59	5380	0.0542907	0.997559	1
0	4277	0.119244	0.99707	1
73	4798	0.120145	0.996582	1
110	3604	0.120739	0.996094	1
108	3758	0.121345	0.995605	1
83	4515	0.122138	0.995117	1
82	4867	0.122942	0.994629	1
100	3766	0.123597	0.994141	1
159	4639	0.124009	0.993652	1
124	5008	0.12454	0.993164	1
98	4458	0.125211	0.992676	1
137	4667	0.125691	0.992188	1
1	4240	0.158385	0.991699	1
119	4539	0.158937	0.991211	1
90	4055	0.159667	0.990723	1
114	3018	0.160236	0.990234	1
95	3852	0.160926	0.989746	1
112	4510	0.161513	0.989258	1
178	2889	0.161871	0.98877	1
106	2763	0.162482	0.988281	1
153	3992	0.162908	0.987793	1
182	4227	0.163265	0.987305	1
136	4283	0.163747	0.986816	1
180	4384	0.164109	0.986328	1
76	3887	0.164972	0.98584	1
89	4690	0.165712	0.985352	1
195	3212	0.166039	0.984863	1
113	4054	0.166619	0.984375	1
126	4219	0.16714	0.983887	1
165	3373	0.167531	0.983398	1
168	4359	0.167919	0.98291	1
105	3991	0.168544	0.982422	1
101	3551	0.169191	0.981934	1
2	3577	0.191067	0.981445	1
141	4043	0.19153	0.980957	1
130	3898	0.192033	0.980469	1
245	5526	0.192299	0.97998	1
3	3631	0.208749	0.979492	1
217	3888	0.209045	0.979004	1
102	3699	0.209687	0.978516	1
107	3312	0.210296	0.978027	1
80	4988	0.21112	0.977539	1
154	3676	0.211541	0.977051	1
4	3730	0.224727	0.976562	1
116	4356	0.225293	0.976074	1
147	3271	0.225733	0.975586	1
205	4392	0.22605	0.975098	1
222	3001	0.226334	0.974609	1
179	2672	0.226688	0.974121	1
135	3139	0.227167	0.973633	1
88	4144	0.227914	0.973145	1
252	5271	0.228172	0.972656	1
151	5166	0.228607	0.972168	1
274	4676	0.228842	0.97168	1
265	3431	0.22908	0.971191	1
128	5939	0.229597	0.970703	1
97	3933	0.230273	0.970215	1
5	3642	0.241277	0.969727	1
169	4753	0.241665	0.969238	1
164	4117	0.242062	0.96875	1
218	4847	0.242361	0.968262	1
213	3546	0.242661	0.967773	1
244	3056	0.242918	0.967285	1
122	4018	0.243455	0.966797	1
183	3100	0.243804	0.966309	1
177	3802	0.24417	0.96582	1
166	5132	0.244566	0.965332	1
288	4905	0.244789	0.964844	1
127	2563	0.245295	0.964355	1
7	3550	0.253567	0.963867	1
361	3476	0.253737	0.963379	1
99	4524	0.254401	0.962891	1
194	3785	0.254734	0.962402	1
317	2492	0.254922	0.961914	1
203	3767	0.255239	0.961426	1
190	3703	0.255579	0.960938	1
263	5180	0.255825	0.960449	1
6	3127	0.265267	0.959961	1
219	3518	0.265558	0.959473	1
337	3682	0.265743	0.958984	1
199	5469	0.266072	0.958496	1
115	2365	0.26663	0.958008	1
148	3763	0.26707	0.95752	1
291	4705	0.26729	0.957031	1
233	4151	0.267566	0.956543	1
8	3573	0.274926	0.956055	1
273	3330	0.275156	0.955566	1
162	3784	0.275556	0.955078	1
221	3522	0.275845	0.95459	1
215	2954	0.276139	0.954102	1
196	3071	0.276464	0.953613	1
283	4713	0.276691	0.953125	1
242	4208	0.276956	0.952637	1
200	2897	0.277273	0.952148	1
216	3122	0.277566	0.95166	1
173	3808	0.277941	0.951172	1
25	4044	0.280505	0.950684	1
50	3928	0.281812	0.950195	1
37	4806	0.28357	0.949707	1
35	3516	0.285421	0.949219	1
36	4152	0.287224	0.94873	1
33	3119	0.289181	0.948242	1
43	5136	0.290701	0.947754	1
52	4424	0.291961	0.947266	1
65	3662	0.292968	0.946777	1
71	3141	0.293887	0.946289	1
56	5145	0.29506	0.945801	1
48	4718	0.296424	0.945312	1
63	4685	0.297467	0.944824	1
64	4387	0.298493	0.944336	1
92	3242	0.299202	0.943848	1
53	4576	0.300439	0.943359	1
61	4800	0.301516	0.942871	1
81	3890	0.302326	0.942383	1
70	3574	0.303261	0.941895	1
84	3876	0.304042	0.941406	1
57	5929	0.305197	0.940918	1
68	3616	0.30616	0.94043	1
62	3978	0.307217	0.939941	1
58	3811	0.308345	0.939453	1
93	4744	0.309054	0.938965	1
46	3955	0.310472	0.938477	1
40	3523	0.312097	0.937988	1
74	4731	0.312987	0.9375	1
85	4670	0.313761	0.937012	1
145	3970	0.314211	0.936523	1
77	3611	0.315062	0.936035	1
55	4473	0.316254	0.935547	1
96	2334	0.316925	0.935059	1
143	4734	0.317384	0.93457	1
170	5042	0.31777	0.934082	1
231	3901	0.318048	0.933594	1
117	4803	0.31861	0.933105	1
167	3618	0.318998	0.932617	1
86	4263	0.319762	0.932129	1
132	4355	0.320259	0.931641	1
150	4842	0.320697	0.931152	1
109	3326	0.321295	0.930664	1
139	4551	0.321767	0.930176	1
79	4429	0.322599	0.929688	1
78	3226	0.323437	0.929199	1
94	4142	0.324135	0.928711	1
282	4214	0.324362	0.928223	1
131	4573	0.324863	0.927734	1
247	3269	0.325118	0.927246	1
188	5702	0.325468	0.926758	1
87	2813	0.326215	0.92627	1
240	3606	0.32648	0.925781	1
371	3680	0.326646	0.925293	1
152	3816	0.327075	0.924805	1
138	3584	0.327546	0.924316	1
193	4149	0.327882	0.923828	1
123	4021	0.328414	0.92334	1
318	4145	0.328613	0.922852	1
118	2895	0.329161	0.922363	1
251	4696	0.329419	0.921875	1
335	3880	0.329605	0.921387	1
207	4254	0.329918	0.920898	1
257	4265	0.330168	0.92041	1
142	3602	0.330626	0.919922	1
171	3717	0.331005	0.919434	1
308	5416	0.331214	0.918945	1
360	4084	0.331388	0.918457	1
314	3707	0.331587	0.917969	1
420	4201	0.331734	0.91748	1
234	4100	0.332009	0.916992	1
264	2872	0.332244	0.916504	1
186	3281	0.332588	0.916016	1
255	2598	0.33283	0.915527	1
202	2939	0.333143	0.915039	1
415	3949	0.333291	0.914551	1
103	3547	0.333926	0.914062	1
175	3664	0.334295	0.913574	1
434	3340	0.334433	0.913086	1
238	4362	0.334704	0.912598	1
334	2278	0.334879	0.912109	1
280	3842	0.335105	0.911621	1
172	4293	0.335484	0.911133	1
381	4195	0.335647	0.910645	1
239	2831	0.335909	0.910156	1
140	4767	0.336378	0.909668	1
296	3055	0.336586	0.90918	1
391	3564	0.336743	0.908691	1
579	4416	0.336846	0.908203	1
298	2645	0.337049	0.907715	1
191	3519	0.337386	0.907227	1
316	3915	0.337585	0.906738	1
344	3719	0.337766	0.90625	1
513	3565	0.337881	0.905762	1
734	4332	0.337959	0.905273	1
339	4741	0.338146	0.904785	1
299	3510	0.338356	0.904297	1
364	3091	0.338522	0.903809	1
181	3939	0.33888	0.90332	1
323	4260	0.339076	0.902832	1
220	3773	0.339367	0.902344	1
11	4503	0.344902	0.901855	1
16	4183	0.348817	0.901367	1
23	4447	0.351595	0.900879	1
21	3692	0.354622	0.900391	1
28	4137	0.356922	0.899902	1
31	3759	0.359005	0.899414	1
38	4409	0.360717	0.898926	1
44	3544	0.362197	0.898438	1
39	4422	0.363866	0.897949	1
49	4308	0.365201	0.897461	1
69	4304	0.366153	0.896973	1
75	3754	0.367027	0.896484	1
51	4328	0.36831	0.895996	1
86	3677	0.369072	0.895508	1
104	3208	0.369698	0.89502	1
72	3855	0.370609	0.894531	1
214	2513	0.3709	0.894043	1
125	4336	0.371425	0.893555	1
120	3742	0.371969	0.893066	1
161	2605	0.372364	0.892578	1
206	3959	0.372678	0.89209	1
248	4478	0.372938	0.891602	1
121	2761	0.373471	0.891113	1
189	4119	0.373814	0.890625	1
275	3657	0.374044	0.890137	1
157	4389	0.37446	0.889648	1
155	5995	0.374887	0.88916	1
198	2687	0.375205	0.888672	1
129	4645	0.375714	0.888184	1
146	3935	0.376161	0.887695	1
192	3588	0.376496	0.887207	1
356	3612	0.376669	0.886719	1
253	3635	0.37692	0.88623	1
210	5237	0.377232	0.885742	1
149	3857	0.377669	0.885254	1
320	3532	0.377863	0.884766	1
266	3822	0.378102	0.884277	1
187	3593	0.378447	0.883789	1
174	3000	0.378814	0.883301	1
305	3702	0.37902	0.882812	1
333	3804	0.379208	0.882324	1
211	3064	0.379508	0.881836	1
393	4550	0.379667	0.881348	1
329	4385	0.37986	0.880859	1
235	4216	0.380134	0.880371	1
336	3951	0.38032	0.879883	1
133	4480	0.380814	0.879395	1
394	3365	0.380967	0.878906	1
325	3213	0.381157	0.878418	1
158	3663	0.381567	0.87793	1
375	4024	0.381733	0.877441	1
66	3756	0.382726	0.876953	1
223	5320	0.383019	0.876465	1
399	3508	0.383171	0.875977	1
289	3601	0.383388	0.875488	1
304	3815	0.383596	0.875	1
628	3814	0.383687	0.874512	1
345	4388	0.38387	0.874023	1
352	3861	0.384047	0.873535	1
362	3426	0.384216	0.873047	1
204	3442	0.38453	0.872559	1
671	3579	0.384614	0.87207	1
376	4521	0.384781	0.871582	1
423	4140	0.384927	0.871094	1
260	3228	0.385168	0.870605	1
262	4423	0.385413	0.870117	1
156	2706	0.385822	0.869629	1
227	5341	0.38611	0.869141	1
382	3931	0.386272	0.868652	1
243	3438	0.386533	0.868164	1
270	4129	0.386769	0.867676	1
462	4060	0.386901	0.867188	1
504	4093	0.387021	0.866699	1
517	2161	0.387122	0.866211	1
548	2394	0.387219	0.865723	1
285	3167	0.387437	0.865234	1
259	2803	0.387676	0.864746	1
201	3803	0.387997	0.864258	1
307	5173	0.388206	0.86377	1
552	3581	0.388312	0.863281	1
600	2485	0.388399	0.862793	1
324	3280	0.388589	0.862305	1
654	3969	0.388677	0.861816	1
293	3968	0.388893	0.861328	1
281	2971	0.389113	0.86084	1
411	3800	0.389262	0.860352	1
648	4138	0.389352	0.859863	1
294	4279	0.389569	0.859375	1
297	4368	0.389783	0.858887	1
527	3180	0.389892	0.858398	1
343	3853	0.390074	0.85791	1
459	3036	0.390201	0.857422	1
604	3381	0.390295	0.856934	1
591	3321	0.39039	0.856445	1
363	4297	0.390563	0.855957	1
437	3627	0.390702	0.855469	1
632	3644	0.390792	0.85498	1
300	3910	0.391002	0.854492	1
572	3661	0.391104	0.854004	1
392	3414	0.391259	0.853516	1
10	3869	0.39729	0.853027	1
29	4035	0.399513	0.852539	1
39	3214	0.401176	0.852051	1
42	4751	0.40273	0.851562	1
54	4319	0.403944	0.851074	1
395	3517	0.404098	0.850586	1
350	3786	0.404275	0.850098	1
184	4274	0.404629	0.849609	1
163	2319	0.405015	0.849121	1
212	4001	0.40532	0.848633	1
276	3505	0.405548	0.848145	1
483	4341	0.405674	0.847656	1
272	3799	0.405907	0.847168	1
315	3184	0.406103	0.84668	1
554	4830	0.406213	0.846191	1
292	3405	0.406427	0.845703	1
321	5313	0.406627	0.845215	1
482	3790	0.406752	0.844727	1
254	3351	0.407	0.844238	1
332	4364	0.407191	0.84375	1
408	3103	0.407337	0.843262	1
365	3024	0.407502	0.842773	1
490	5805	0.40763	0.842285	1
237	4272	0.407902	0.841797	1
197	3383	0.408227	0.841309	1
144	4011	0.408681	0.84082	1
374	4517	0.408849	0.840332	1
455	2950	0.408977	0.839844	1
341	3976	0.40916	0.839355	1
303	3693	0.409367	0.838867	1
409	4072	0.409518	0.838379	1
351	4833	0.409699	0.837891	1
380	4420	0.409864	0.837402	1
643	5037	0.409958	0.836914	1
340	2564	0.410133	0.836426	1
436	4264	0.410274	0.835938	1
432	3747	0.410415	0.835449	1
160	4031	0.410822	0.834961	1
422	3430	0.410964	0.834473	1
614	4758	0.411062	0.833984	1
388	3099	0.411217	0.833496	1
378	2882	0.411374	0.833008	1
568	4589	0.41148	0.83252	1
615	5164	0.411579	0.832031	1
563	3628	0.411682	0.831543	1
311	3152	0.411881	0.831055	1
481	3502	0.412004	0.830566	1
886	3467	0.412062	0.830078	1
557	3268	0.412164	0.82959	1
230	2893	0.412437	0.829102	1
134	4426	0.412927	0.828613	1
486	4094	0.413051	0.828125	1
208	2691	0.413353	0.827637	1
284	2621	0.413568	0.827148	1
267	3689	0.413805	0.82666	1
1102	3634	0.413849	0.826172	1
634	3677	0.413939	0.825684	1
111	3542	0.414527	0.825195	1
825	3911	0.414593	0.824707	1
331	3849	0.414782	0.824219	1
313	3277	0.41498	0.82373	1
225	3393	0.415262	0.823242	1
574	3598	0.415363	0.822754	1
511	3940	0.41548	0.822266	1
573	4371	0.415585	0.821777	1
416	4017	0.415733	0.821289	1
584	3428	0.41583	0.820801	1
271	5677	0.416071	0.820312	1
241	3258	0.416333	0.819824	1
606	3107	0.416424	0.819336	1
590	3605	0.416522	0.818848	1
446	3415	0.416656	0.818359	1
474	2983	0.416777	0.817871	1
390	2862	0.416929	0.817383	1
798	3288	0.416995	0.816895	1
209	2364	0.417291	0.816406	1
487	4320	0.417417	0.815918	1
713	3749	0.417495	0.81543	1
831	2754	0.417553	0.814941	1
493	4143	0.417676	0.814453	1
743	3419	0.417749	0.813965	1
567	2756	0.417845	0.813477	1
413	2612	0.417985	0.812988	1
322	4190	0.418181	0.8125	1
397	3716	0.418335	0.812012	1
421	4358	0.418483	0.811523	1
407	3698	0.418633	0.811035	1
507	3335	0.418748	0.810547	1
658	4559	0.418837	0.810059	1
655	2930	0.418919	0.80957	1
665	4631	0.419008	0.809082	1
647	3216	0.419093	0.808594	1
312	2560	0.419285	0.808105	1
410	3700	0.419434	0.807617	1
460	2519	0.419556	0.807129	1
430	3538	0.419696	0.806641	1
618	3448	0.419788	0.806152	1
851	3480	0.419849	0.805664	1
1018	2542	0.41989	0.805176	1
759	3882	0.419963	0.804688	1
26	3319	0.422429	0.804199	1
30	3095	0.424575	0.803711	1
41	4655	0.426166	0.803223	1
60	3812	0.427257	0.802734	1
176	3732	0.427625	0.802246	1
250	3761	0.427879	0.801758	1
510	3501	0.427995	0.80127	1
435	4065	0.428136	0.800781	1
228	4748	0.42842	0.800293	1
326	2962	0.428607	0.799805	1
358	3101	0.428776	0.799316	1
309	2878	0.428974	0.798828	1
529	4192	0.429087	0.79834	1
367	2852	0.42925	0.797852	1
400	3143	0.4294	0.797363	1
412	3647	0.429547	0.796875	1
458	3843	0.42968	0.796387	1
536	4278	0.429792	0.795898	1
528	3176	0.429901	0.79541	1
301	4414	0.430112	0.794922	1
621	4449	0.430208	0.794434	1
649	3202	0.430292	0.793945	1
522	3858	0.430406	0.793457	1
466	4160	0.430537	0.792969	1
549	3511	0.430643	0.79248	1
